ward,item,location,cost,year,category
26,Floodlight Menu,1656 N AVERS AVE,950,2022,Lighting
26,Miscellaneous CDOT Projects,3358 W DIVISION ST,660,2022,Misc. CDOT
26,Miscellaneous CDOT Projects,ON W DIVISION ST FROM N WESTERN AVE  (2400 W) TO N MOZART DR  (2830 W),110000,2022,Misc. CDOT
26,Sidewalk Menu,1115 N FRANCISCO AVE,1759.97,2022,Sidewalk Repair
26,Sidewalk Menu,1919 N HARDING AVE,3987.81,2022,Sidewalk Repair
26,Sidewalk Menu,ON W LE MOYNE ST FROM N SPRINGFIELD AVE  (3900 W) TO N HARDING AVE  (3940 W); 1456 N SPRINGFIELD AVE; 3901 W LE MOYNE ST,11226.68,2022,Sidewalk Repair
26,Street Resurfacing Menu,ON N KOLIN AVE FROM W HIRSCH ST  (1400 N) TO W GRAND AVE  (1600 N),104460.78,2022,Street Resurfacing
26,Street Resurfacing Menu,ON W LE MOYNE ST FROM N HARDING AVE  (3940 W) TO N PULASKI RD  (4000 W),23117.88,2022,Street Resurfacing
26,Street Resurfacing Menu,ON W WABANSIA AVE FROM N HAMLIN AVE  (3800 W) TO N SPRINGFIELD AVE  (3900 W),93752.6,2022,Street Resurfacing
26,Street Speed Hump Menu,ON N LAWNDALE AVE FROM W POTOMAC AVE  (1300 N) TO W HIRSCH ST  (1400 N),4700,2022,Street Redesign
26,Street Speed Hump Replacement,ON N KOLIN AVE FROM W HIRSCH ST  (1400 N) TO W GRAND AVE  (1600 N),0,2022,Street Resurfacing
26,Street Speed Hump Replacement,ON W WABANSIA AVE FROM N HAMLIN AVE  (3800 W) TO N SPRINGFIELD AVE  (3900 W),0,2022,Street Resurfacing
27,1 POD Camera NW Corner W.OHIO ST AND N.SAWYER ST (POLARIS SCHOOL),620 N SAWYER AVE,24776,2022,Police Cameras
27,1 PTZ Camera - 700 N Lawndale Ave,700 N LAWNDALE AVE,24776,2022,Misc.
27,1 PTZ - SE S Maplewood Ave & W Wilcox St,S MAPLEWOOD AVE &  W WILCOX ST,24776,2022,Misc.
27,Alley Resurfacing Menu,N LARRABEE ST &  N CLYBOURN AVE; W EVERGREEN AVE &  N CLYBOURN AVE; 617 W EVERGREEN AVE,30151.23,2022,Alleys
27,Alley Resurfacing Menu,W GRAND AVE &  N HERMITAGE AVE&N PAULINA ST &  W HUBBARD ST,14978.55,2022,Alleys
27,Alley Resurfacing Menu,W MADISON ST &  S LEAVITT ST&S HOYNE AVE &  W MONROE ST,40947.29,2022,Alleys
27,Curb & Gutter Menu,130 S GREEN ST,49980.43,2022,Street Resurfacing
27,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",N WELLS ST &  W HILL ST,350,2022,Pedestrian Infrastructure
27,Miscellaneous CDOT Projects,1959 W CARROLL AVE,660,2022,Misc. CDOT
27,Miscellaneous CDOT Projects,204 S ASHLAND AVE,6766.05,2022,Misc. CDOT
27,Pavement Markings Menu,N WELLS ST &  W HILL ST,2300,2022,Street Redesign
27,Pavement Markings Menu,ON S RACINE AVE FROM W MONROE ST  (100 S) TO W ADAMS ST  (200 S),750,2022,Street Redesign
27,Sidewalk Menu,1257 W FRY ST,9492.92,2022,Sidewalk Repair
27,Sidewalk Menu,1420 W CARROLL AVE,54906.11,2022,Sidewalk Repair
27,Sidewalk Menu,2351 W MAYPOLE AVE,13026.32,2022,Sidewalk Repair
27,Sidewalk Menu,2508 W MAYPOLE AVE,34400.72,2022,Sidewalk Repair
27,Sidewalk Menu,305 N LAFLIN ST,17610.74,2022,Sidewalk Repair
27,Sidewalk Menu,635 N HOMAN AVE; 639 N HOMAN AVE; ON N HOMAN AVE FROM W OHIO ST  (600 N) TO W HURON ST  (700 N),72527.83,2022,Sidewalk Repair
27,Sidewalk Menu,711 N TROY ST,2980.09,2022,Sidewalk Repair
27,Sidewalk Menu,840 W RANDOLPH ST,10001.44,2022,Sidewalk Repair
27,Sidewalk Menu,ON N ELIZABETH ST FROM W CHICAGO AVE  (800 N) TO W CHESTNUT ST  (900 N),81489.31,2022,Sidewalk Repair
27,Sidewalk Menu,ON N NOBLE ST FROM W CHICAGO AVE  (800 N) TO W CHESTNUT ST  (900 N),56539.23,2022,Sidewalk Repair
27,Sidewalk Menu,ON W ADAMS ST FROM S THROOP ST  (1300 W) TO S LAFLIN ST  (1500 W),79468.77,2022,Sidewalk Repair
27,Sidewalk Menu,ON W CHESTNUT ST FROM N ELIZABETH ST  (1300 W) TO N NOBLE ST  (1400 W),54333.69,2022,Sidewalk Repair
27,Sidewalk Menu,ON W CHICAGO AVE FROM N ELIZABETH ST  (1300 W) TO N NOBLE ST  (1400 W),35960.26,2022,Sidewalk Repair
27,Sidewalk Menu,ON W LAKE ST FROM N FRANCISCO AVE  (2900 W) TO N SACRAMENTO BLVD  (3000 W),8852.83,2022,Sidewalk Repair
27,Sidewalk Menu,ON W MONROE ST FROM S THROOP ST  (1300 W) TO S LAFLIN ST  (1500 W),91047.03,2022,Sidewalk Repair
27,Speed Indicator Signs,ON S RACINE AVE FROM W MONROE ST  (100 S) TO W ADAMS ST  (200 S),14000,2022,Misc.
27,Street Light Pole for High Definition Camera Menu,N HUDSON AVE &  W BLACKHAWK ST,3000,2022,Lighting
27,Street Light Upgrade Menu,ON W LAKE ST FROM N RACINE AVE  (1200 W) TO N ELIZABETH ST  (1300 W),1500,2022,Lighting
27,Street Resurfacing Menu,ON N AVERS AVE FROM W IOWA ST  (900 N) TO W AUGUSTA BLVD  (1000 N),58164.5,2022,Street Resurfacing
27,Street Resurfacing Menu,ON N DAYTON ST FROM W EVERGREEN AVE  (1400 N) TO W EASTMAN ST  (1440 N),23963.47,2022,Street Resurfacing
27,Street Resurfacing Menu,ON N FREMONT ST FROM W BLACKHAWK ST  (1500 N) TO W NORTH AVE  (1600 N),46586.96,2022,Street Resurfacing
27,Street Resurfacing Menu,ON N HART ST FROM W KINZIE ST  (400 N) TO W HUBBARD ST  (440 N),27741.45,2022,Street Resurfacing
27,Street Resurfacing Menu,ON N HERMITAGE AVE FROM W WARREN BLVD  (40 N) TO W LAKE ST  (200 N),115227.36,2022,Street Resurfacing
27,Street Resurfacing Menu,ON N OSWEGO ST FROM 421 N TO W KINZIE ST  (400 N),25810.43,2022,Street Resurfacing
27,Street Resurfacing Menu,ON W EVERGREEN AVE FROM 714 W TO N HALSTED ST  (799 W),93094.23,2022,Street Resurfacing
27,Street Resurfacing Menu,ON W FULTON BLVD FROM N SACRAMENTO BLVD  (3000 W) TO N KEDZIE AVE  (3200 W),143661.63,2022,Street Resurfacing
27,Street Resurfacing Menu,ON W THOMAS ST FROM N CENTRAL PARK AVE  (3600 W) TO N MONTICELLO AVE  (3640 W),39951.12,2022,Street Resurfacing
27,Street Speed Hump Menu,ON N ALBANY AVE FROM W FRANKLIN BLVD  (500 N) TO W OHIO ST  (600 N),4700,2022,Street Redesign
27,Street Speed Hump Menu,ON N CLEVELAND AVE FROM N CLYBOURN AVE  (1260 N) TO W BLACKHAWK ST  (1500 N),4700,2022,Street Redesign
27,Street Speed Hump Menu,ON N CLEVELAND AVE FROM W OAK ST  (1000 N) TO W HOBBIE ST  (1100 N),2350,2022,Street Redesign
27,Street Speed Hump Menu,ON N HERMITAGE AVE FROM W WARREN BLVD  (40 N) TO W WASHINGTON BLVD  (100 N),2350,2022,Street Redesign
27,Street Speed Hump Menu,ON N NOBLE ST FROM W THOMAS ST  (1100 N) TO W DIVISION ST  (1200 N),4700,2022,Street Redesign
27,Street Speed Hump Menu,ON N ORLEANS ST FROM W SCHILLER ST  (1400 N) TO W NORTH AVE  (1600 N),9400,2022,Street Redesign
