ward,item,location,cost,year,category
44,Street Speed Hump Replacement,ON W EDDY ST FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE (1300 W),0.0,2024,Street Resurfacing
44,Street Speed Hump Replacement,ON W OAKDALE AVE FROM N SHEFFIELD AVE (999 W) TO N SEMINARY AVE (1100 W),0.0,2024,Street Resurfacing
45,ADA - Alley Resurfacing Menu,N CALDWELL AVE & N TONTY AVE&N WILDWOOD AVE & N LEOTI AVE; 6755 N CALDWELL AVE,7245.0,2024,Alleys
45,ADA - Alley Resurfacing Menu,N MINNETONKA AVE & N LEHIGH AVE&N CALDWELL AVE & N ALGONQUIN AVE; 6515 N MINNETONKA AVE,7245.0,2024,Alleys
45,ADA - Alley Resurfacing Menu,W TOUHY AVE & N MOBILE AVE&N NAGLE AVE & W FITCH AVE; 6301 W TOUHY AVE,7245.0,2024,Alleys
45,ADA - Street Resurfacing Menu,ON N ALGONQUIN AVE FROM 6471 N TO N TAHOMA AVE (6530 N),21735.0,2024,Street Resurfacing
45,ADA - Street Resurfacing Menu,ON N LIEB AVE FROM N LONG AVE (5240 N) TO N LIANO AVE (5340 N),36225.0,2024,Street Resurfacing
45,ADA - Street Resurfacing Menu,ON N TAHOMA AVE FROM N MCALPIN AVE (6970 N) TO W ESTES AVE (7100 N),7245.0,2024,Street Resurfacing
45,Alley Resurfacing Menu,N CALDWELL AVE & N TONTY AVE&N WILDWOOD AVE & N LEOTI AVE; 6755 N CALDWELL AVE,13394.2,2024,Alleys
45,Alley Resurfacing Menu,N MULLIGAN AVE & W BRYN MAWR AVE&W BRYN MAWR AVE & N AVONDALE AVE; 5621 N MULLIGAN AVE,41107.3,2024,Alleys
45,Alley Resurfacing Menu,W TOUHY AVE & N MOBILE AVE&N NAGLE AVE & W FITCH AVE; 6301 W TOUHY AVE,12520.51,2024,Alleys
45,Alley Speed Hump Menu,W MONTROSE AVE & N CICERO AVE&N CICERO AVE & W PENSACOLA AVE,2175.0,2024,Alleys
45,Alley Speed Hump Replacement,N MINNETONKA AVE & N LEHIGH AVE&N CALDWELL AVE & N ALGONQUIN AVE; 6515 N MINNETONKA AVE,0.0,2024,Alleys
45,Alley Speed Hump Replacement,N MULLIGAN AVE & W BRYN MAWR AVE&W BRYN MAWR AVE & N AVONDALE AVE; 5621 N MULLIGAN AVE,0.0,2024,Alleys
45,Speed Indicator Signs,N CENTRAL AVE & W CATALPA AVE,7879.96,2024,Traffic Signals
45,Street Light Upgrade Menu,4958 N MILWAUKEE AVE,500.0,2024,Lighting
45,Street Light Upgrade Menu,5329 N MELVINA AVE,500.0,2024,Lighting
45,Street Resurfacing Menu,ON N ALGONQUIN AVE FROM 6471 N TO N TAHOMA AVE (6530 N),35583.2,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N KOLMAR AVE FROM W IRVING PARK RD (4000 N) TO W BERTEAU AVE (4200 N),149118.42,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N LAMON AVE FROM W HUTCHINSON ST (4230 N) TO W CULLOM AVE (4300 N),18633.4,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N LEOTI AVE FROM 6833 N TO N TONTY AVE (6850 N),14777.57,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N LIEB AVE FROM N LONG AVE (5240 N) TO N LIANO AVE (5340 N),75183.09,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N LOLETA AVE FROM N CALDWELL AVE (6600 N) TO N HIAWATHA AVE (6800 N),124110.36,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N LORON AVE FROM N HIAWATHA AVE (6800 N) TO N LOLETA AVE (6900 N),118406.86,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N LOTUS AVE FROM W BALMORAL AVE (5400 N) TO W CATALPA AVE (5500 N),55254.58,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N MCALPIN AVE FROM N MEDFORD AVE (7000 N) TO N CALDWELL AVE (7000 N),29333.98,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N MCALPIN AVE FROM N SIOUX AVE (7100 N) TO N IONIA AVE (7200 N),70286.16,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N MCALPIN AVE FROM N TAHOMA AVE (7030 N) TO N HIAWATHA AVE (7100 N),50165.3,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N MENARD AVE FROM N MILWAUKEE AVE (5530 N) TO W BRYN MAWR AVE (5600 N),39640.33,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N NOKOMIS AVE FROM W DEVON AVE (6400 N) TO N IONIA AVE (6500 N),76285.45,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N PARKSIDE AVE FROM N LOVEJOY AVE (5430 N) TO N MILWAUKEE AVE (5340 N),22606.82,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N PARKSIDE AVE FROM N LOVEJOY AVE (5430 N) TO W CATALPA AVE (5500 N),54890.4,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N SIOUX AVE FROM W TOUHY AVE (7200 N) TO N MANKATO AVE (7130 N),25865.72,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N TAHOMA AVE FROM N MCALPIN AVE (6970 N) TO W ESTES AVE (7100 N),97531.78,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N TONTY AVE FROM N HIAWATHA AVE (6900 N) TO N LEHIGH AVE (7000 N),157576.28,2024,Street Resurfacing
45,Street Resurfacing Menu,ON N WAUKESHA AVE FROM N CALDWELL AVE (6500 N) TO N LEHIGH AVE (6599 N),81149.66,2024,Street Resurfacing
45,Street Resurfacing Menu,ON W HIGHLAND AVE FROM 6527 W TO N NEENAH AVE (6500 W),28097.04,2024,Street Resurfacing
45,Street Speed Hump Menu,ON N HAMLIN AVE FROM W IRVING PARK RD (4000 N) TO W BELLE PLAINE AVE (4100 N),4880.0,2024,Street Resurfacing
45,Street Speed Hump Menu,ON W CARMEN AVE FROM N LAMON AVE (4900 W) TO N LAVERGNE AVE (5000 W),4880.0,2024,Street Resurfacing
45,Street Speed Hump Replacement,ON N KOLMAR AVE FROM W IRVING PARK RD (4000 N) TO W BERTEAU AVE (4200 N),0.0,2024,Street Resurfacing
46,Concrete Alley Menu,N CLARENDON AVE & W EASTWOOD AVE; 826 W WILSON AVE; N CLARENDON AVE & W WILSON AVE,22193.66,2024,Alleys
46,Concrete Alley Menu,W LAWRENCE AVE & N WINTHROP AVE&N KENMORE AVE & W AINSLIE ST,17650.32,2024,Alleys
46,Concrete Alley Menu,W LELAND AVE & N CLARENDON AVE; W EASTWOOD AVE & N CLARENDON AVE; 851 W LELAND AVE,178000.0,2024,Alleys
46,Curb & Gutter Menu,4231-4233 N KENMORE AVE,16373.86,2024,Street Resurfacing
46,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,W IRVING PARK RD & N MARINE DR,26845.91,2024,Pedestrian Infrastructure
46,Miscellaneous CDOT Projects,N BROADWAY & N CLARENDON AVE,70000.0,2024,Misc. CDOT
46,Miscellaneous CDOT Projects,ON W LAWRENCE AVE FROM N SHERIDAN RD (1000 W) TO N BROADWAY (1200 W),20829.1,2024,Misc. CDOT
46,Park District - Gill Park - Multi-sport Court,825 W SHERIDAN RD,100000.0,2024,Parks
46,Pavement Markings Menu,ON N BROADWAY FROM W WAVELAND AVE (3699 N) TO W GRACE ST (3799 N),1800.0,2024,Street Redesign
46,Sidewalk Menu,4007 N CLARENDON AVE,3554.7,2024,Sidewalk Repair
46,Sidewalk Menu,4147 N BROADWAY,17340.95,2024,Sidewalk Repair
46,Sidewalk Menu,4850 N KENMORE AVE,53378.01,2024,Sidewalk Repair
46,Sidewalk Menu,727-737 W HUTCHINSON ST,139236.72,2024,Sidewalk Repair
46,Sidewalk Menu,730 W HUTCHINSON ST,13034.08,2024,Sidewalk Repair
46,Sidewalk Menu,826 W WILSON AVE,17784.16,2024,Sidewalk Repair
46,Sidewalk Menu,ON W WINDSOR AVE FROM N CLARENDON AVE (800 W) TO N SHERIDAN RD (1000 W); 902 W WINDSOR AVE,60768.11,2024,Sidewalk Repair
46,Street Bump Outs Menu,N HAZEL ST & W SUNNYSIDE AVE,23687.23,2024,Pedestrian Infrastructure
46,Street Resurfacing Menu,1311 W LAWRENCE AVE,2527.84,2024,Street Resurfacing
46,Street Resurfacing Menu,ON W WAVELAND AVE FROM N HALSTED ST (800 W) TO N FREMONT ST (900 W),23419.09,2024,Street Resurfacing
46,Street Speed Hump Menu,ON N HAZEL ST FROM W AGATITE AVE (4430 N) TO W WINDSOR AVE (4530 N),4880.0,2024,Street Resurfacing
47,Alley Apron Menu,3141 N CAMPBELL AVE,2843.25,2024,Alleys
47,Bike Lane/Marked Shared Lane Menu,N LINCOLN AVE & W ADDISON ST,100000.0,2024,Bicycle Infrastructure
47,Curb & Gutter Menu,1457-1459 W SUNNYSIDE AVE,9281.87,2024,Street Resurfacing
47,Curb & Gutter Menu,1520 W BELLE PLAINE AVE,6560.42,2024,Street Resurfacing
47,Curb & Gutter Menu,2113 W GIDDINGS ST,8863.91,2024,Street Resurfacing
47,Curb & Gutter Menu,2620 W WILSON AVE,6752.81,2024,Street Resurfacing
47,Curb & Gutter Menu,4554 N PAULINA ST,2436.9,2024,Street Resurfacing
47,In-Road State Law Stop For Pedestrians Sign Menu,N DAMEN AVE & W EASTWOOD AVE,350.0,2024,Pedestrian Infrastructure
47,In-Road State Law Stop For Pedestrians Sign Menu,W ADDISON ST & N HERMITAGE AVE,600.0,2024,Pedestrian Infrastructure
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N CLAREMONT AVE,600.0,2024,Pedestrian Infrastructure
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N HERMITAGE AVE,350.0,2024,Pedestrian Infrastructure
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N MAPLEWOOD AVE,600.0,2024,Pedestrian Infrastructure
47,In-Road State Law Stop For Pedestrians Sign Menu,W WILSON AVE & N CLAREMONT AVE,600.0,2024,Pedestrian Infrastructure
47,Installation of pedestrian countdown signals at N. Ashland Ave. & W. Wilson Ave.,N ASHLAND AVE & W WILSON AVE,120000.0,2024,Pedestrian Infrastructure
47,Miscellaneous CDOT Projects,N LINCOLN AVE & W MONTROSE AVE; N LINCOLN AVE & W LAWRENCE AVE; N LINCOLN AVE & W EASTWOOD AVE; N LINCOLN AVE & W WILSON AVE; N LINCOLN AVE & W SUNNYSIDE AVE; N LINCOLN AVE & W GIDDINGS ST,48000.0,2024,Misc. CDOT
47,Miscellaneous CDOT Projects,W LAWRENCE AVE & N WINCHESTER AVE,100000.0,2024,Misc. CDOT
47,Pavement Markings Menu,N DAMEN AVE & W GRACE ST,2000.0,2024,Street Redesign
47,Pavement Markings Menu,W LAWRENCE AVE & N WINCHESTER AVE,5500.0,2024,Street Redesign
47,Sidewalk Menu,1765 W AINSLIE ST,8286.57,2024,Sidewalk Repair
47,Sidewalk Menu,2042 W GRACE ST,4877.9,2024,Sidewalk Repair
47,Sidewalk Menu,2316 W GRACE ST,14178.92,2024,Sidewalk Repair
47,Sidewalk Menu,2429 W IRVING PARK RD,3825.62,2024,Sidewalk Repair
47,Sidewalk Menu,2448 W ADDISON ST,12523.85,2024,Sidewalk Repair
47,Sidewalk Menu,2559 W CULLOM AVE,11960.83,2024,Sidewalk Repair
47,Sidewalk Menu,3522-3526 N DAMEN AVE,9797.08,2024,Sidewalk Repair
47,Sidewalk Menu,3534 N HERMITAGE AVE,7496.8,2024,Sidewalk Repair
47,Sidewalk Menu,3733 N OAKLEY AVE,6259.62,2024,Sidewalk Repair
47,Sidewalk Menu,3819-3821 N RAVENSWOOD AVE E,6529.48,2024,Sidewalk Repair
47,Sidewalk Menu,3834 N HAMILTON AVE,1796.62,2024,Sidewalk Repair
47,Sidewalk Menu,3934 N PAULINA ST,10661.09,2024,Sidewalk Repair
47,Sidewalk Menu,4053 N LEAVITT ST,18799.44,2024,Sidewalk Repair
47,Sidewalk Menu,4157 N BELL AVE,2994.73,2024,Sidewalk Repair
47,Sidewalk Menu,4518 N MAPLEWOOD AVE,8901.66,2024,Sidewalk Repair
47,Sidewalk Menu,4737 N LINCOLN AVE,142257.36,2024,Sidewalk Repair
47,Sidewalk Menu,4751-4757 N LEAVITT ST,16902.11,2024,Sidewalk Repair
47,Sidewalk Menu,W SUNNYSIDE AVE & N CLAREMONT AVE; 2340 W SUNNYSIDE AVE,27755.02,2024,Sidewalk Repair
47,Street Resurfacing Menu,ON N PAULINA ST FROM W BELLE PLAINE AVE (4100 N) TO W BERTEAU AVE (4200 N),58983.03,2024,Street Resurfacing
47,Street Resurfacing Menu,ON N RAVENSWOOD AVE FROM W SUNNYSIDE AVE (4500 N) TO W WILSON AVE (4600 N),43363.98,2024,Street Resurfacing
47,Street Resurfacing Menu,ON W BERTEAU AVE FROM N WESTERN AVE (2400 W) TO N CAMPBELL AVE (2520 W),76064.16,2024,Street Resurfacing
47,Street Resurfacing Menu,ON W CULLOM AVE FROM N BELL AVE (2230 W) TO N WESTERN AVE (2400 W),102984.56,2024,Street Resurfacing
