ward,year,item,location,cost,category
46,2025,Sidewalk Menu,4646 N MARINE DR,20588.52,Sidewalk Repair
46,2025,Sidewalk Menu,4728 N KENMORE AVE; 4832 N KENMORE AVE; 4718 N KENMORE AVE,22066.98,Sidewalk Repair
46,2025,Sidewalk Menu,4813 N WINTHROP AVE,1530.65,Sidewalk Repair
46,2025,Sidewalk Menu,4820 N MARINE DR,8421.41,Sidewalk Repair
46,2025,Sidewalk Menu,4827 N KENMORE AVE; 4869 N KENMORE AVE; 4883 N KENMORE AVE; 4857 N KENMORE AVE,26139.41,Sidewalk Repair
46,2025,Sidewalk Menu,4835 N SHERIDAN RD; 4878 N SHERIDAN RD; 4855 N SHERIDAN RD; 4840 N SHERIDAN RD,84261.68,Sidewalk Repair
46,2025,Sidewalk Menu,4840-4850 N MARINE DR,13308.19,Sidewalk Repair
46,2025,Sidewalk Menu,622-632 W STRATFORD PL; 606 W STRATFORD PL; 558 W STRATFORD PL; 534 W STRATFORD PL; 520 W STRATFORD PL; 506-512 W STRATFORD PL,82171.38,Sidewalk Repair
46,2025,Sidewalk Menu,627-645 W PATTERSON AVE,35089.67,Sidewalk Repair
46,2025,Sidewalk Menu,650 W GRACE ST,6591.86,Sidewalk Repair
46,2025,Sidewalk Menu,653 W BITTERSWEET PL,10321.6,Sidewalk Repair
46,2025,Sidewalk Menu,655 W JUNIOR TER,12503.85,Sidewalk Repair
46,2025,Sidewalk Menu,709 W MONTROSE AVE,5458.47,Sidewalk Repair
46,2025,Sidewalk Menu,712 W BITTERSWEET PL,16312.89,Sidewalk Repair
46,2025,Sidewalk Menu,807-811 W LELAND AVE,11005.04,Sidewalk Repair
46,2025,Sidewalk Menu,910 W CUYLER AVE,15312.39,Sidewalk Repair
