,ward,type,location,year,est_cost,id,start_location,end_location,lat_1,lon_1,query_1,lat_2,lon_2,query_2
20312,23,Sidewalk Menu,W 60 ST-- STCHEZ AV (6500 W) -to- STCHEZ AV (6500 W),2009,9110.0,18296,W 60th ST AND STCHEZ AV,W 60th ST AND STCHEZ AV,,,google,,,google
20313,20,Street Resurface Menu,W 61 PL-- S PRINCETON AV (300 W) -to- Dead End (722 W),2010,7289.0,16121,W 61st PL AND S PRINCETON AV,W 61st PL AND Dead End,41.7825733,-87.6326742,google,,,google
20314,16,Street Speed Hump Menu,W 61 PL-- S UNION AV (700 W) -to- Dead End (722 W) 1,2006,2500.0,13093,W 61st PL AND S UNION AV,W 61st PL AND Dead End,41.7825211,-87.6425562,google,,,google
20397,16,Street Speed Hump Menu,W 63 PW-- S HALSTED (W) PW(754 W) -to- S SANGAMON ST (932 W) 4,2010,7400.0,13333,W 63 PW AND S HALSTEDPW,W 63 PW AND S SANGAMON ST,,,google,41.862288,-87.6498593,google
20656,17,Sidewalk Menu,W 70 PL-- S HOYNE AV (2100 W) -to- Dead End (318 W),2008,36944.0,13976,W 70th PL AND S HOYNE AV,W 70th PL AND Dead End,41.765687,-87.6759893,google,,,google
20693,6,Sidewalk Menu,W 72 ST-- S LAFAYETTE AV (40 W) -to- Dead End (2127 W),2007,29558.0,4371,W 72nd ST AND S LAFAYETTE AV,W 72nd ST AND Dead End,41.7636627,-87.6265296,google,,,google
20721,17,Sidewalk Menu,W 73 ST-- S MARSHFIELD AV (1632 W) -to- Dead End (414 W),2005,20752.0,13812,W 73rd ST AND S MARSHFIELD AV,W 73rd ST AND Dead End,41.7612466,-87.6649409,google,,,google
20791,18,Sidewalk Menu,W 77 PL-- S HAMILTON AV (2132 W) -to- Dead End (2141 W),2009,24058.0,14716,W 77th PL AND S HAMILTON AV,W 77th PL AND Dead End,41.7532307,-87.6767728,google,,,google
20792,18,Street Resurface Menu,W 77 PL-- S HAMILTON AV (2132 W) -to- Dead End (2141 W),2010,12961.0,14795,W 77th PL AND S HAMILTON AV,W 77th PL AND Dead End,41.7532307,-87.6767728,google,,,google
20873,18,Street Resurface Menu,W 80 ST-- S LAWNDALE AV (3700 W) -to- Dead End (2131 W),2008,39250.0,14665,W 80th ST AND S LAWNDALE AV,W 80th ST AND Dead End,41.7477853,-87.7145151,google,,,google
20885,18,Street Lighting,W 80 ST-- Dead End (2252 W) -to- S OAKLEY AV (2300 W),2005,1200.0,14494,W 80th ST AND Dead End,W 80th ST AND S OAKLEY AV,,,google,41.7483195,-87.680437,google
20893,18,Pole Painting,W 80 ST-- Dead End (2252 W) -to- S WESTERN AV (2400 W),2006,1600.0,14553,W 80th ST AND Dead End,W 80th ST AND S WESTERN AV,,,google,41.748288,-87.6827476,google
20894,18,Street Lighting,W 80 ST-- Dead End (2252 W) -to- S WESTERN AV (2400 W),2006,3200.0,14573,W 80th ST AND Dead End,W 80th ST AND S WESTERN AV,,,google,41.748288,-87.6827476,google
